time,logger,level,database,message,exception
2013-05-22 20:58:11.9882,Raven.Database.Storage.IndexDefinitionStorage,Info,Paramore_Integration_Tests,"New index Raven%2fDocumentsByEntityName:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using System.Globalization;
using System.Text.RegularExpressions;
using Raven.Database.Indexing;


public class Index_Raven_2fDocumentsByEntityName : Raven.Database.Linq.AbstractViewGenerator
{
	public Index_Raven_2fDocumentsByEntityName()
	{
		this.ViewText = @""from doc in docs 
let Tag = doc[""""@metadata""""][""""Raven-Entity-Name""""]
select new { Tag, LastModified = (DateTime)doc[""""@metadata""""][""""Last-Modified""""] };"";
		this.AddMapDefinition(docs => 
			from doc in docs
			let Tag = doc[""@metadata""][""Raven-Entity-Name""]
			select new {
				Tag,
				LastModified = (DateTime)doc[""@metadata""][""Last-Modified""],
				__document_id = doc.__document_id
			});
		this.AddField(""LastModified"");
		this.AddField(""__document_id"");
		this.AddField(""Tag"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForReduce(""__document_id"");
	}
}

Compiled to:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using System.Globalization;
using System.Text.RegularExpressions;
using Raven.Database.Indexing;


public class Index_Raven_2fDocumentsByEntityName : Raven.Database.Linq.AbstractViewGenerator
{
	public Index_Raven_2fDocumentsByEntityName()
	{
		this.ViewText = @""from doc in docs 
let Tag = doc[""""@metadata""""][""""Raven-Entity-Name""""]
select new { Tag, LastModified = (DateTime)doc[""""@metadata""""][""""Last-Modified""""] };"";
		this.AddMapDefinition(docs => 
			from doc in docs
			let Tag = doc[""@metadata""][""Raven-Entity-Name""]
			select new {
				Tag,
				LastModified = (DateTime)doc[""@metadata""][""Last-Modified""],
				__document_id = doc.__document_id
			});
		this.AddField(""LastModified"");
		this.AddField(""__document_id"");
		this.AddField(""Tag"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForReduce(""__document_id"");
	}
}
",
2013-05-22 20:58:12.0038,Raven.Database.Indexing.IndexStorage,Debug,Paramore_Integration_Tests,Creating index Raven/DocumentsByEntityName with encoded name Raven/DocumentsByEntityName,
2013-05-22 20:58:12.1598,Raven.Database.Indexing.Index.Indexing,Debug,Paramore_Integration_Tests,Creating index for Raven/DocumentsByEntityName,
2013-05-22 20:58:12.1598,Raven.Database.Indexing.WorkContext,Debug,Paramore_Integration_Tests,Incremented work counter to 1 because: PUT INDEX Raven/DocumentsByEntityName,
2013-05-22 20:58:12.1910,Raven.Database.Indexing.WorkContext,Debug,Paramore_Integration_Tests,"No work was found, workerWorkCounter: 1, for: ReducingExecuter, will wait for additional work",
2013-05-22 20:58:12.1754,Raven.Database.Server.HttpServer,Debug,,Request #   5: PUT     -   744 ms - Paramore_Integration_Tests - 201 - /indexes/Raven/DocumentsByEntityName,
2013-05-22 20:58:12.2066,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Paramore_Integration_Tests,Document with key 'Raven/Replication/Destinations' was not found,
2013-05-22 20:58:12.2066,Raven.Database.Indexing.WorkContext,Debug,Paramore_Integration_Tests,"No work was found, workerWorkCounter: 1, for: IndexingExecuter, will wait for additional work",
2013-05-22 20:58:12.2066,Raven.Database.Server.HttpServer,Debug,,Request #   6: GET     -     0 ms - Paramore_Integration_Tests - 404 - /docs/Raven/Replication/Destinations,
2013-05-22 20:58:12.6746,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Paramore_Integration_Tests,"Inserted a new document with key 'VenueDocuments/c3c27027-b5c9-43bf-8259-a86f06be8313', update: False, ",
2013-05-22 20:58:12.6746,Raven.Database.DocumentDatabase,Debug,Paramore_Integration_Tests,Put document VenueDocuments/c3c27027-b5c9-43bf-8259-a86f06be8313 with etag 00000001-0000-0100-0000-000000000001,
2013-05-22 20:58:12.6746,Raven.Database.Indexing.WorkContext,Debug,Paramore_Integration_Tests,Incremented work counter to 2 because: PUT VenueDocuments/c3c27027-b5c9-43bf-8259-a86f06be8313,
2013-05-22 20:58:12.6746,Raven.Database.DocumentDatabase,Debug,Paramore_Integration_Tests,Successfully executed 1 commands in 00:00:00.0048406,
2013-05-22 20:58:12.6902,Raven.Database.Indexing.WorkContext,Debug,Paramore_Integration_Tests,"No work was found, workerWorkCounter: 2, for: ReducingExecuter, will wait for additional work",
2013-05-22 20:58:12.6902,Raven.Database.Server.HttpServer,Debug,,Request #   7: POST    -    22 ms - Paramore_Integration_Tests - 200 - /bulk_docs,
2013-05-22 20:58:12.7526,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,Paramore_Integration_Tests,Found a total of 1 documents that requires indexing since etag: 00000000-0000-0000-0000-000000000000: (VenueDocuments/c3c27027-b5c9-43bf-8259-a86f06be8313),
