time,logger,level,database,message,exception
2013-05-29 12:44:57.9719,Raven.Database.Indexing.WorkContext,Warn,Paramore,"Could not setup performance counters properly because of access permissions, perf counters will not be used","System.Security.SecurityException: Requested registry access is not allowed.
   at System.ThrowHelper.ThrowSecurityException(ExceptionResource resource)
   at Microsoft.Win32.RegistryKey.OpenSubKey(String name, Boolean writable)
   at System.Diagnostics.PerformanceCounterLib.CreateRegistryEntry(String categoryName, PerformanceCounterCategoryType categoryType, CounterCreationDataCollection creationData, Boolean& iniRegistered)
   at System.Diagnostics.PerformanceCounterLib.RegisterCategory(String categoryName, PerformanceCounterCategoryType categoryType, String categoryHelp, CounterCreationDataCollection creationData)
   at System.Diagnostics.PerformanceCounterCategory.Create(String categoryName, String categoryHelp, PerformanceCounterCategoryType categoryType, CounterCreationDataCollection counterData)
   at Raven.Database.Indexing.WorkContext.SetupPerformanceCounter(String name) in c:\Builds\RavenDB-Stable\Raven.Database\Indexing\WorkContext.cs:line 335
   at Raven.Database.Indexing.WorkContext.Init(String name) in c:\Builds\RavenDB-Stable\Raven.Database\Indexing\WorkContext.cs:line 367
The Zone of the assembly that failed was:
MyComputer"
2013-05-29 12:44:57.9719,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Paramore,Document with key 'Raven/Backup/Status' was not found,
2013-05-29 12:44:57.9876,Raven.Database.Indexing.WorkContext,Debug,Paramore,"No work was found, workerWorkCounter: 0, for: ReducingExecuter, will wait for additional work",
2013-05-29 12:44:57.9876,Raven.Database.Indexing.WorkContext,Debug,Paramore,"No work was found, workerWorkCounter: 0, for: IndexingExecuter, will wait for additional work",
2013-05-29 12:44:58.2372,Raven.Database.Indexing.Index.Querying,Debug,Paramore,Issuing query on index Raven/DocumentsByEntityName for: Tag:VenueDocuments,
2013-05-29 12:44:58.2840,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Paramore,Document with key 'venuedocuments/81ff63f0-24f0-44d8-a394-dabc44fcefd1' was found,
2013-05-29 12:44:58.2840,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Paramore,Document with key 'venuedocuments/25445d65-6852-4d8b-a6fe-d527df69dfaa' was found,
2013-05-29 12:44:58.2840,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Paramore,Document with key 'venuedocuments/5463d802-35d9-4bbc-ac72-92eba1f5e2a2' was found,
2013-05-29 12:44:58.2840,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Paramore,Document with key 'venuedocuments/67b38a69-d33c-4d53-99f0-7e1de492214e' was found,
2013-05-29 12:44:58.3932,Raven.Database.Server.HttpServer,Debug,,"Request #   2: GET     - 1,928 ms - Paramore   - 200 - /indexes/dynamic/VenueDocuments?query=&pageSize=128",
